id,name,measurement,total_onion,minimum_rate,maximun_rate,date
47,कांदा,क्विंटल,11187,500,1300,2021-04-01
48,कांदा,क्विंटल,11319,500,1200,2021-04-02
49,कांदा,क्विंटल,10228,400,1100,2021-04-04
50,कांदा,क्विंटल,8954,500,1100,2021-04-05
51,कांदा,क्विंटल,9634,500,1200,2021-04-06
52,कांदा,क्विंटल,10138,500,1100,2021-04-07
53,कांदा,क्विंटल,11868,500,1200,2021-04-08
54,कांदा,क्विंटल,14032,500,1100,2021-04-09
55,कांदा,क्विंटल,8952,500,1200,2021-04-12
56,कांदा,क्विंटल,9525,500,1200,2021-04-13
57,कांदा,क्विंटल,9781,600,1200,2021-04-14
58,कांदा,क्विंटल,12290,500,1200,2021-04-15
59,कांदा,क्विंटल,11599,500,1100,2021-04-16
60,कांदा,क्विंटल,12792,500,1200,2021-04-19
61,कांदा,क्विंटल,7708,500,1100,2021-04-20
62,कांदा,क्विंटल,4530,400,1100,2021-04-21
63,कांदा,क्विंटल,5133,500,1200,2021-04-22
64,कांदा,क्विंटल,8077,500,1100,2021-04-23
65,कांदा,क्विंटल,8043,500,1200,2021-04-26
66,कांदा,क्विंटल,7134,500,1100,2021-04-27
67,कांदा,क्विंटल,6611,500,1200,2021-04-28
68,कांदा,क्विंटल,8291,500,1200,2021-04-29
69,कांदा,क्विंटल,5366,600,1300,2021-04-30
70,कांदा,क्विंटल,9469,500,1300,2021-05-03
71,कांदा,क्विंटल,8060,600,1400,2021-05-04
72,कांदा,क्विंटल,10030,500,1400,2021-05-05
73,कांदा,क्विंटल,7752,500,1400,2021-05-06
74,कांदा,क्विंटल,8688,500,1300,2021-05-07
75,कांदा,क्विंटल,11092,500,1200,2021-05-10
76,कांदा,क्विंटल,8961,500,1200,2021-05-11
77,कांदा,क्विंटल,5167,500,1200,2021-05-12
78,कांदा,क्विंटल,6815,500,1300,2021-05-13
79,कांदा,क्विंटल,5892,500,1200,2021-05-14
80,कांदा,क्विंटल,10085,500,1400,2021-05-17
81,कांदा,क्विंटल,3312,500,1300,2021-05-18
82,कांदा,क्विंटल,5269,500,1400,2021-05-19
83,कांदा,क्विंटल,2671,500,1300,2021-05-20
84,कांदा,क्विंटल,9279,600,1500,2021-05-21
85,कांदा,क्विंटल,12361,500,1600,2021-05-24
86,कांदा,क्विंटल,9185,700,1700,2021-05-25
87,कांदा,क्विंटल,7911,600,1800,2021-05-26
88,कांदा,क्विंटल,7938,700,1800,2021-05-27
89,कांदा,क्विंटल,8547,700,1800,2021-05-28
